datetime,symbol,source,title,summary,url,sentiment
2025-07-28T11:15:33.265163Z,AAVE,CoinDesk,Investors show strong confidence in AAVE,Analysts highlight rising adoption of AAVE.,https://news.example.com/aave/94982,positive
2025-08-16T07:52:33.265223Z,AAVE,Forbes Crypto,AAVE gains traction in global markets,AAVE saw improved trading activity across major exchanges.,https://news.example.com/aave/59277,positive
2025-09-07T10:03:33.265251Z,AAVE,Decrypt,AAVE receives strong community support,Technical indicators show strong performance for AAVE.,https://news.example.com/aave/71531,positive
2025-08-22T18:03:33.265266Z,AAVE,CryptoNews,Whales reduce exposure to AAVE,Traders expressed concern over AAVE's performance.,https://news.example.com/aave/14265,negative
2025-07-16T14:42:33.265278Z,AAVE,Forbes Crypto,Whales accumulate large amounts of AAVE,Technical indicators show strong performance for AAVE.,https://news.example.com/aave/78648,positive
2025-10-08T14:35:33.265290Z,AAVE,CoinDesk,Liquidity for AAVE increases significantly,Technical indicators show strong performance for AAVE.,https://news.example.com/aave/54306,positive
2025-07-14T04:48:33.265301Z,AAVE,CryptoNews,AAVE sees major spike in transaction activity,Market sentiment surrounding AAVE is highly positive.,https://news.example.com/aave/24683,positive
2025-09-03T16:39:33.265311Z,AAVE,Decrypt,AAVE experiences unusual volatility spike,AAVE experienced reduced liquidity during the session.,https://news.example.com/aave/69262,negative
2025-10-28T03:25:33.265323Z,AAVE,CoinDesk,Investors show strong confidence in AAVE,Investors remain optimistic about AAVE's long-term potential.,https://news.example.com/aave/17915,positive
2025-10-19T04:02:33.265334Z,AAVE,CoinTelegraph,Liquidity for AAVE increases significantly,Technical indicators show strong performance for AAVE.,https://news.example.com/aave/66718,positive
2025-09-07T21:36:33.265344Z,AAVE,Forbes Crypto,Investors show strong confidence in AAVE,Investors remain optimistic about AAVE's long-term potential.,https://news.example.com/aave/38774,positive
2025-08-06T18:42:33.265355Z,AAVE,The Block,AAVE sees declining trading activity,AAVE continues to face downward pressure.,https://news.example.com/aave/61313,negative
2025-10-13T07:40:33.265365Z,AAVE,CoinDesk,AAVE sees major spike in transaction activity,AAVE benefited from increased market confidence.,https://news.example.com/aave/32191,positive
2025-09-30T02:07:33.265376Z,AAVE,The Block,AAVE ecosystem expands with new partnerships,AAVE saw improved trading activity across major exchanges.,https://news.example.com/aave/53160,positive
2025-11-18T10:46:33.265386Z,AAVE,CryptoNews,Analysts predict upward movement for AAVE,Market sentiment surrounding AAVE is highly positive.,https://news.example.com/aave/35751,positive
2025-08-13T02:10:33.265401Z,AAVE,Yahoo Finance,AAVE underperforms compared to competitors,AAVE experienced reduced liquidity during the session.,https://news.example.com/aave/31419,negative
