datetime,symbol,title,sentiment_score,sentiment_label
2025-07-28T11:15:33.265163Z,AAVE,Investors show strong confidence in AAVE,0.765,positive
2025-08-16T07:52:33.265223Z,AAVE,AAVE gains traction in global markets,0.34,positive
2025-09-07T10:03:33.265251Z,AAVE,AAVE receives strong community support,0.7184,positive
2025-08-22T18:03:33.265266Z,AAVE,Whales reduce exposure to AAVE,0.0,neutral
2025-07-16T14:42:33.265278Z,AAVE,Whales accumulate large amounts of AAVE,0.0,neutral
2025-10-08T14:35:33.265290Z,AAVE,Liquidity for AAVE increases significantly,0.0,neutral
2025-07-14T04:48:33.265301Z,AAVE,AAVE sees major spike in transaction activity,0.0,neutral
2025-09-03T16:39:33.265311Z,AAVE,AAVE experiences unusual volatility spike,0.0,neutral
2025-10-28T03:25:33.265323Z,AAVE,Investors show strong confidence in AAVE,0.765,positive
2025-10-19T04:02:33.265334Z,AAVE,Liquidity for AAVE increases significantly,0.0,neutral
2025-09-07T21:36:33.265344Z,AAVE,Investors show strong confidence in AAVE,0.765,positive
2025-08-06T18:42:33.265355Z,AAVE,AAVE sees declining trading activity,0.0,neutral
2025-10-13T07:40:33.265365Z,AAVE,AAVE sees major spike in transaction activity,0.0,neutral
2025-09-30T02:07:33.265376Z,AAVE,AAVE ecosystem expands with new partnerships,0.1027,positive
2025-11-18T10:46:33.265386Z,AAVE,Analysts predict upward movement for AAVE,0.0,neutral
2025-08-13T02:10:33.265401Z,AAVE,AAVE underperforms compared to competitors,0.0,neutral
2025-09-16T13:17:33.265411Z,AAVE,Negative sentiment grows around AAVE,-0.5719,negative
2025-09-09T06:43:33.265422Z,AAVE,AAVE underperforms compared to competitors,0.0,neutral
2025-11-18T06:52:33.265433Z,AAVE,Regulatory pressure negatively impacts AAVE,-0.296,negative
2025-11-16T04:37:33.265445Z,AAVE,AAVE gains traction in global markets,0.34,positive
2025-08-13T20:10:33.265456Z,AAVE,Regulatory pressure negatively impacts AAVE,-0.296,negative
2025-08-19T18:26:33.265466Z,AAVE,AAVE adoption rises sharply as institutions enter,0.0,neutral
2025-10-30T05:18:33.265475Z,AAVE,Market uncertainty pushes AAVE downward,-0.34,negative
2025-11-12T05:36:33.265485Z,AAVE,AAVE surges amid renewed market optimism,0.5423,positive
2025-09-02T14:08:33.265495Z,AAVE,AAVE drops after heavy selling pressure,-0.296,negative
2025-10-16T16:03:33.265505Z,AAVE,AAVE sees major spike in transaction activity,0.0,neutral
2025-09-20T10:35:33.265515Z,AAVE,AAVE underperforms compared to competitors,0.0,neutral
2025-07-24T20:29:33.265525Z,AAVE,AAVE receives strong community support,0.7184,positive
2025-07-18T21:00:33.265535Z,AAVE,AAVE experiences unusual volatility spike,0.0,neutral
2025-10-06T10:24:33.265545Z,AAVE,Whales reduce exposure to AAVE,0.0,neutral
2025-09-29T00:18:33.265556Z,AAVE,Market uncertainty pushes AAVE downward,-0.34,negative
2025-11-04T00:49:33.265565Z,AAVE,Negative sentiment grows around AAVE,-0.5719,negative
2025-09-27T01:04:33.265575Z,AAVE,Whales reduce exposure to AAVE,0.0,neutral
2025-07-11T16:51:33.265585Z,AAVE,AAVE experiences unusual volatility spike,0.0,neutral
2025-07-15T14:46:33.265595Z,AAVE,Liquidity for AAVE increases significantly,0.0,neutral
2025-08-20T20:46:33.265605Z,AAVE,AAVE gains traction in global markets,0.34,positive
2025-07-31T16:40:33.265615Z,AAVE,Regulatory pressure negatively impacts AAVE,-0.296,negative
2025-09-23T14:47:33.265624Z,AAVE,Negative sentiment grows around AAVE,-0.5719,negative
2025-08-14T06:00:33.265636Z,AAVE,AAVE experiences strong bullish momentum,0.5106,positive
2025-08-05T21:14:33.265646Z,AAVE,Investors pull liquidity from AAVE markets,0.0,neutral
2025-08-17T15:52:33.265656Z,AAVE,AAVE sees major spike in transaction activity,0.0,neutral
2025-09-19T13:29:33.265666Z,AAVE,AAVE drops after heavy selling pressure,-0.296,negative
2025-10-04T00:45:33.265675Z,AAVE,AAVE experiences strong bullish momentum,0.5106,positive
2025-08-16T14:41:33.265685Z,AAVE,AAVE underperforms compared to competitors,0.0,neutral
2025-11-10T07:24:33.265695Z,AAVE,AAVE surges amid renewed market optimism,0.5423,positive
2025-10-09T09:17:33.265704Z,AAVE,Investors show strong confidence in AAVE,0.765,positive
2025-08-31T23:35:33.265714Z,AAVE,AAVE gains traction in global markets,0.34,positive
2025-10-30T13:35:33.265727Z,AAVE,AAVE experiences unusual volatility spike,0.0,neutral
2025-08-16T02:27:33.265738Z,AAVE,AAVE experiences strong bullish momentum,0.5106,positive
2025-08-26T14:09:33.265748Z,AAVE,AAVE adoption rises sharply as institutions enter,0.0,neutral
2025-10-08T11:11:33.265758Z,AAVE,AAVE surges amid renewed market optimism,0.5423,positive
2025-11-22T09:42:33.265767Z,AAVE,Analysts predict upward movement for AAVE,0.0,neutral
2025-10-15T10:38:33.265777Z,AAVE,Liquidity for AAVE increases significantly,0.0,neutral
2025-09-06T17:19:33.265787Z,AAVE,Investors pull liquidity from AAVE markets,0.0,neutral
2025-10-25T12:35:33.265797Z,AAVE,Regulatory pressure negatively impacts AAVE,-0.296,negative
2025-10-22T20:35:33.265806Z,AAVE,AAVE shows a strong recovery after recent dip,0.5106,positive
2025-07-21T16:52:33.265816Z,AAVE,AAVE ecosystem expands with new partnerships,0.1027,positive
2025-07-20T22:17:33.265825Z,AAVE,Whales accumulate large amounts of AAVE,0.0,neutral
2025-10-07T16:52:33.265835Z,AAVE,Technical indicators show weakness for AAVE,-0.4215,negative
2025-11-20T00:48:33.265845Z,AAVE,AAVE gains traction in global markets,0.34,positive
2025-08-12T09:32:33.265855Z,AAVE,Market uncertainty pushes AAVE downward,-0.34,negative
2025-10-11T11:56:33.265864Z,AAVE,AAVE experiences a calm trading session,0.3182,positive
2025-11-20T18:44:33.265872Z,AAVE,Investors show strong confidence in AAVE,0.765,positive
2025-10-30T12:14:33.265880Z,AAVE,New upgrade boosts performance of AAVE,0.3182,positive
2025-11-16T01:49:33.265887Z,AAVE,AAVE experiences strong bullish momentum,0.5106,positive
2025-11-15T22:10:33.265897Z,AAVE,AAVE sees declining trading activity,0.0,neutral
2025-09-04T12:04:33.265905Z,AAVE,Liquidity for AAVE increases significantly,0.0,neutral
2025-07-13T16:06:33.265912Z,AAVE,AAVE experiences strong bullish momentum,0.5106,positive
2025-10-10T08:55:33.265920Z,AAVE,Technical indicators show weakness for AAVE,-0.4215,negative
2025-09-21T07:25:33.265928Z,AAVE,Liquidity for AAVE increases significantly,0.0,neutral
